id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names
1104845,Plankton: The Movie,Plankton's tangled love story with his sentient computer wife goes sideways when she takes a stand — and decides to destroy the world without him.,2025-03-08,6.841,85,78.4995,/hGaUNLF5VZbg9ovPTyjm9Rv5xWz.jpg,"Animation, Adventure, Comedy, Family, Fantasy"
1388366,Popeye the Slayer Man,"A curious group of friends sneak into an abandoned spinach canning factory to film a documentary on the legend of the ""Sailor Man,"" who is said to haunt the factory and local docks.",2025-03-21,6.058,78,75.7098,/nVwu3mN7hr1yF467pGct3yQFM41.jpg,Horror
927342,Amaran,"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",2024-10-31,7.363,215,75.6696,/eCB06m1KUGilEOlIzb40nkQhVY0.jpg,"Action, Drama, Adventure, War"
1249385,Ghost Game,"As part of an internet challenge to live undetected in a stranger’s home, a daring couple target an infamous haunted house and endure a series of chilling incidents as they witness a family descending into madness.",2024-10-18,3.8,25,74.9138,/kxxWBEn7qTN2xumSferCHbDudcT.jpg,"Horror, Thriller"
1405338,Demon City,"Framed for his family's murder and left for dead, an ex-hitman will stop at nothing to exact revenge on the masked ""demons"" who have taken over his city.",2025-02-26,6.854,212,74.032,/g5PqsFFrayyRL1Ldgib2lMYuJXg.jpg,"Action, Crime, Fantasy, Thriller"
558449,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",2024-11-13,6.76,3204,71.1758,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,"Action, Adventure, Drama"
823219,Flow,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",2024-08-29,8.214,1825,71.0759,/imKSymKBK7o73sajciEmndJoVkR.jpg,"Animation, Fantasy, Adventure"
539972,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",2024-12-11,6.6,1576,70.8515,/1GvBhRxY6MELDfxFrete6BNhBB5.jpg,"Action, Adventure, Thriller"
533535,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2024-07-24,7.605,7078,70.4574,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,"Action, Comedy, Science Fiction"
1156593,Your Fault,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,2024-12-26,7.128,1208,67.6148,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,"Romance, Drama"
1160956,Panda Plan,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",2024-10-01,6.928,180,67.5682,/hbO8MVrDuT8YxqeJD6DMxcamY9N.jpg,"Action, Comedy"
1184918,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-12,8.326,4747,66.6468,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"Animation, Science Fiction, Family"
995926,"I, the Executioner","The veteran detective Seo Do-cheol and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo to track down a serial killer who has plunged the nation into turmoil.",2024-09-13,6.991,58,62.3713,/gAtP0usArK5gVOBObnsENKLwML8.jpg,"Action, Crime"
1077782,Old Guy,"Stuck at a dead end but vying for the love of spunky club manager Anata, aging contract killer Danny Dolinski is thrilled when The Company pulls him back in the field, but only to train Gen Z newcomer Wihlborg, a prodigy assassin with an attitude.",2024-12-13,5.6,84,61.6197,/ulVVfNY8bmy1RbHfY4zi3fOwGzh.jpg,"Action, Comedy"
1059643,Clawfoot,An upper-class suburban housewife is psychologically terrorized by a manipulative contractor remodeling her bathroom... until the tables are turned and a twisted battle of wits ensues with deliciously unexpected results.,2024-04-24,4.9,35,60.9382,/p2aM5FtUHmKp28AfiZCP6rkQJiw.jpg,Thriller
1022789,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",2024-06-11,7.556,5756,60.917,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,"Animation, Adventure, Comedy, Family"
1217379,Hellhound,"Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.",2024-06-20,6.5,43,60.6461,/h1BtcTEk0pbe9XhbxrAp2oLKoWb.jpg,"Action, Crime, Thriller"
1141233,Super Papa,"For the 8th birthday of his son Gaby, Tom, unwittingly offers him a book ... which contains only blank pages. Faced with Gaby's disappointment and in order not to lose face, Tom pretends that it is a magic book: all you have to do is write your dreams in it for them to come true. This is how, totally overwhelmed, Tom will do everything he can to make his son's dreams come true, even the wildest ones!",2024-08-07,5.6,20,59.1015,/1jqG652MICyDGeXyHfWooBaIcQq.jpg,"Comedy, Family"
1140847,Cinderella's Revenge,"Cinderella finds freedom from her wicked stepmother with the help of her fairy godmother. Only this time, they unleash a plan of bloody vengeance.",2024-04-26,5.4,28,57.9783,/cYB3SHhITJSbRoisgn9QQTP8YkZ.jpg,"Fantasy, Horror"
