id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names,type
93,Falcon Crest,"Falcon Crest is an American primetime television soap opera which aired on the CBS network for nine seasons, from December 4, 1981 to May 17, 1990. A total of 227 episodes were produced.

The series revolves around the feuding factions of the wealthy Gioberti/Channing family in the Californian wine industry. Jane Wyman starred as Angela Channing, the tyrannical matriarch of the Falcon Crest Winery, alongside Robert Foxworth as Chase Gioberti, Angela's nephew who returns to Falcon Crest following the death of his father. The series was set in the fictitious Tuscany Valley northeast of San Francisco.",1981-12-04,5.5,52,37.2267,/rgcKhBsHwAlPpeJG9yKip5oWVo9.jpg,"Soap, Drama",tv
91239,Bridgerton,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020-12-25,8.108,2937,37.2143,/v2TL9tcfsFsFY1wM8rhwiQwo01t.jpg,Drama,tv
66250,Celebrity Antiques Road Trip,Antiques experts accompany celebrities on a road trip around the UK searching for treasures and competing to make the most money at auction,2011-10-24,5.0,4,37.2048,/A8Gb4gRQn6OkPtrn7J6h0Ha4sfW.jpg,Talk,tv
2686,Three's Company,"When two single girls, Janet and Chrissy, need a roommate to share their Santa Monica apartment, they decide to offer a room to Jack, a man they find passed out in the bathtub after the going-away party for their last roommate. However, hijinks ensure when Jack must pretend to be gay in order to throw off the scent of the trio's conservative landlady.",1977-03-15,7.702,161,37.1998,/6xn9XQ5iwJIa1FkoZAFtnh5tAQl.jpg,Comedy,tv
931,He-Man and the Masters of the Universe,"When Adam, Prince of the planet Eternia, raises his magic sword he transforms into He-Man (the most powerful man in the universe).  With his allies and friends, he battles the evil Skeletor and his minions to protect the secrets of Castle Greyskull.",1983-09-05,7.3,369,37.1817,/tawmMe0D3ncyzEmmfMraGucXBCA.jpg,"Action & Adventure, Animation, Sci-Fi & Fantasy, Kids",tv
13884,From These Roots,Follow the life of successful writer Elizabeth “Liz” Fraser Allen as she returns to her New England hometown of Strathfield to run her family’s newspaper after her father suffers a heart attack.,1958-06-30,3.5,2,37.1606,,Soap,tv
84580,Velho Chico,,2016-03-14,7.833,9,37.1389,/kYReG9ukBkIcHTYGjnTuyxICNsk.jpg,"Soap, Drama",tv
78086,Late Night Berlin,,2018-03-12,4.0,3,37.1261,/5UzINIlr6eHJtmuKpuxbJC04Zg8.jpg,Talk,tv
209119,Hatoko no umi,A woman who lost her memory after experiencing the atomic bombing of Hiroshima.,1974-04-01,0.0,0,37.1094,/3iQijzhTU8BkEz9ZhF8uaSxQQ6a.jpg,Drama,tv
203494,Seus Olhos,,2004-05-18,7.5,1,37.1046,/uzMYO4Lz0xjsfDx8Ea74SmmnFtX.jpg,"Soap, Drama",tv
30750,Sajan Ghar Jaana Hai,"Sajan Ghar Jaana Hai was an Indian television series that aired on STAR Plus channel. The series premiered on August 5, 2009, and ended on June 25, 2010. It was produced by well-known directors Sumit Mittal & Shashi Mittal.",2009-08-05,0.0,0,37.0988,/wodWUuKy41utrZ4olgZ3GEn1pRB.jpg,"Drama, Soap",tv
